ID base 10,ID base 16,Byte 0,Byte 1,Value 1,Byte 2,Byte 3,Value 2,Byte 4,Byte 5,Value 3,Byte 6,Byte 7,Value 4
992,3EA,10,171,2731,10,71,2631,0,0,0,0,0,0
1002,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,360,0,9,9,18,129,4737,141,152,36248,215,197,55237
864,3E2,0,0,0,3,181,949,0,0,0,0,0,0
994,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E5,0,0,0,3,181,949,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,3E9,0,0,0,0,0,0,0,0,0,0,0,0
1001,3E5,0,0,0,0,0,0,3,133,901,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36F,0,0,0,0,0,0,0,0,0,0,0,0
879,360,0,0,0,0,0,0,0,0,0,0,0,0
864,29E,0,0,0,3,180,948,0,0,0,0,0,0
670,3E5,0,9,9,58,242,15090,53,109,13677,111,112,28528
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,181,949,0,0,0,0,0,0
998,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,361,4,83,1107,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,368,0,0,0,3,182,950,0,0,0,0,0,0
872,361,3,228,996,0,0,0,0,0,0,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,372,0,9,9,59,248,15352,32,0,8192,122,193,31425
882,369,0,118,118,0,0,0,252,11,64523,3,245,1013
873,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,36F,0,0,0,0,0,0,0,0,0,0,0,0
879,360,0,0,0,0,0,0,0,0,0,0,0,0
864,363,0,0,0,3,182,950,0,0,0,0,0,0
867,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,361,0,0,0,0,0,0,0,0,0,0,0,0
865,360,0,0,0,0,0,0,0,0,0,0,0,0
864,36B,0,0,0,3,182,950,0,0,0,0,0,0
875,361,3,245,1013,0,0,0,0,0,0,0,0,0
865,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,3EA,0,9,9,21,117,5493,135,142,34702,221,127,56703
1002,360,0,0,0,0,0,0,0,0,0,0,0,0
864,3E6,0,0,0,3,182,950,0,0,0,0,0,0
998,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,37F,0,0,0,0,0,0,0,0,0,0,0,0
895,363,4,86,1110,0,0,0,0,0,0,0,0,0
867,3E0,0,0,0,0,0,0,0,0,0,0,0,0
992,3E5,10,171,2731,10,71,2631,0,0,0,0,0,0
997,3E5,0,0,0,0,0,0,0,0,0,0,0,0
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,369,0,0,0,0,0,0,0,0,0,0,0,0
873,29E,0,0,0,0,0,0,0,0,0,0,0,0
670,3E5,0,9,9,84,25,21529,218,102,55910,128,165,32933
997,3EA,0,0,0,0,0,0,0,0,0,0,0,0
1002,360,0,0,0,0,0,0,0,0,0,0,0,0
864,360,0,0,0,3,182,950,0,0,0,0,0,0
864,362,0,0,0,3,182,950,0,0,0,0,0,0
866,3E9,0,0,0,0,0,0,255,230,65510,0,0,0
1001,361,0,0,0,0,0,0,3,133,901,0,0,0
865,3E5,0,0,0,0,0,0,0,0,0,0,0,0
